postcodeLeerlingen,schoolNaam,aantalLeerlingen
5361,ATO basisschool De Kruisstraat,1
5391,ATO basisschool De Kruisstraat,1
5392,ATO basisschool De Kruisstraat,1
5146,Basisschool het Palet,2
5211,Basisschool het Palet,1
5212,Basisschool het Palet,12
5213,Basisschool het Palet,10
5215,Basisschool het Palet,1
5223,Basisschool het Palet,1
5231,Basisschool het Palet,251
5232,Basisschool het Palet,39
5233,Basisschool het Palet,113
5235,Basisschool het Palet,2
5236,Basisschool het Palet,2
5244,Basisschool het Palet,1
5245,Basisschool het Palet,9
5246,Basisschool het Palet,2
5247,Basisschool het Palet,2
5211,ATO montessorischool De Aquamarijn,13
5212,ATO montessorischool De Aquamarijn,35
5213,ATO montessorischool De Aquamarijn,57
5215,ATO montessorischool De Aquamarijn,133
5216,ATO montessorischool De Aquamarijn,20
5223,ATO montessorischool De Aquamarijn,5
5224,ATO montessorischool De Aquamarijn,1
5231,ATO montessorischool De Aquamarijn,13
5232,ATO montessorischool De Aquamarijn,4
5233,ATO montessorischool De Aquamarijn,4
5237,ATO montessorischool De Aquamarijn,3
5245,ATO montessorischool De Aquamarijn,2
5246,ATO montessorischool De Aquamarijn,17
5248,ATO montessorischool De Aquamarijn,1
5258,ATO montessorischool De Aquamarijn,2
5363,ATO montessorischool De Aquamarijn,1
5212,Basisschool de Haren,1
5224,Basisschool de Haren,1
5231,Basisschool de Haren,22
5233,Basisschool de Haren,196
5234,Basisschool de Haren,1
5235,Basisschool de Haren,2
5237,Basisschool de Haren,1
5246,Basisschool de Haren,2
5252,Basisschool de Haren,1
5212,Basisschool de Duizendpoot,1
5213,Basisschool de Duizendpoot,2
5231,Basisschool de Duizendpoot,209
5233,Basisschool de Duizendpoot,3
5236,Basisschool de Duizendpoot,1
5237,Basisschool de Duizendpoot,1
5283,Basisschool de Duizendpoot,1
5211,Rooms Katholieke Basisschool Paus Joannes,1
5215,Rooms Katholieke Basisschool Paus Joannes,2
5223,Rooms Katholieke Basisschool Paus Joannes,48
5224,Rooms Katholieke Basisschool Paus Joannes,120
5233,Rooms Katholieke Basisschool Paus Joannes,2
5237,Rooms Katholieke Basisschool Paus Joannes,2
5261,Rooms Katholieke Basisschool Paus Joannes,2
7333,Rooms Katholieke Basisschool Paus Joannes,1
5211,Rooms Katholieke Basisschool het Bossche Broek,148
5212,Rooms Katholieke Basisschool het Bossche Broek,49
5213,Rooms Katholieke Basisschool het Bossche Broek,16
5215,Rooms Katholieke Basisschool het Bossche Broek,6
5216,Rooms Katholieke Basisschool het Bossche Broek,275
5221,Rooms Katholieke Basisschool het Bossche Broek,3
5223,Rooms Katholieke Basisschool het Bossche Broek,42
5224,Rooms Katholieke Basisschool het Bossche Broek,7
5231,Rooms Katholieke Basisschool het Bossche Broek,14
5232,Rooms Katholieke Basisschool het Bossche Broek,6
5233,Rooms Katholieke Basisschool het Bossche Broek,3
5235,Rooms Katholieke Basisschool het Bossche Broek,1
5237,Rooms Katholieke Basisschool het Bossche Broek,1
5245,Rooms Katholieke Basisschool het Bossche Broek,1
5247,Rooms Katholieke Basisschool het Bossche Broek,1
5261,Rooms Katholieke Basisschool het Bossche Broek,1
5262,Rooms Katholieke Basisschool het Bossche Broek,1
5263,Rooms Katholieke Basisschool het Bossche Broek,1
5275,Rooms Katholieke Basisschool het Bossche Broek,2
5283,Rooms Katholieke Basisschool het Bossche Broek,1
5615,Rooms Katholieke Basisschool het Bossche Broek,1
5223,Rooms Katholieke Basisschool de Kruisboelijn,20
5224,Rooms Katholieke Basisschool de Kruisboelijn,130
5244,Rooms Katholieke Basisschool de Kruisboelijn,1
5632,Rooms Katholieke Basisschool de Kruisboelijn,1
2223,RK Basisschool De Kameleon,1
5211,RK Basisschool De Kameleon,34
5212,RK Basisschool De Kameleon,286
5213,RK Basisschool De Kameleon,117
5215,RK Basisschool De Kameleon,11
5216,RK Basisschool De Kameleon,14
5223,RK Basisschool De Kameleon,7
5224,RK Basisschool De Kameleon,1
5231,RK Basisschool De Kameleon,17
5233,RK Basisschool De Kameleon,1
5235,RK Basisschool De Kameleon,1
5243,RK Basisschool De Kameleon,2
5246,RK Basisschool De Kameleon,1
5247,RK Basisschool De Kameleon,1
5268,RK Basisschool De Kameleon,1
5481,RK Basisschool De Kameleon,1
5223,Rooms Katholieke Basisschool Monseigneur Bekkers,123
5224,Rooms Katholieke Basisschool Monseigneur Bekkers,11
5211,Basisschool Oberon,2
5213,Basisschool Oberon,13
5215,Basisschool Oberon,53
5216,Basisschool Oberon,5
5233,Basisschool Oberon,1
5211,Rooms Katholieke Basisschool 't Boschveld,7
5223,Rooms Katholieke Basisschool 't Boschveld,81
5224,Rooms Katholieke Basisschool 't Boschveld,1
5231,Basisschool Aventurijn,4
5234,Basisschool Aventurijn,2
5235,Basisschool Aventurijn,91
5237,Basisschool Aventurijn,54
5245,Basisschool Aventurijn,1
5211,RK SSBO Het Overpad,4
5212,RK SSBO Het Overpad,6
5213,RK SSBO Het Overpad,18
5215,RK SSBO Het Overpad,6
5216,RK SSBO Het Overpad,10
5221,RK SSBO Het Overpad,5
5223,RK SSBO Het Overpad,18
5224,RK SSBO Het Overpad,31
5231,RK SSBO Het Overpad,23
5233,RK SSBO Het Overpad,15
5235,RK SSBO Het Overpad,7
5236,RK SSBO Het Overpad,10
5237,RK SSBO Het Overpad,12
5241,RK SSBO Het Overpad,5
5242,RK SSBO Het Overpad,1
5243,RK SSBO Het Overpad,3
5244,RK SSBO Het Overpad,1
5245,RK SSBO Het Overpad,3
5246,RK SSBO Het Overpad,6
5247,RK SSBO Het Overpad,8
5251,RK SSBO Het Overpad,6
5328,RK SSBO Het Overpad,1
5334,RK SSBO Het Overpad,1
5211,ATO jenaplan kindcentrum De Ontdekking,1
5222,ATO jenaplan kindcentrum De Ontdekking,1
5223,ATO jenaplan kindcentrum De Ontdekking,173
5224,ATO jenaplan kindcentrum De Ontdekking,96
5231,ATO jenaplan kindcentrum De Ontdekking,6
5211,ATO basisschool Het Rondeel,1
5212,ATO basisschool Het Rondeel,2
5213,ATO basisschool Het Rondeel,146
5215,ATO basisschool Het Rondeel,32
5216,ATO basisschool Het Rondeel,2
5231,ATO basisschool Het Rondeel,3
5233,ATO basisschool Het Rondeel,1
5235,ATO basisschool Het Rondeel,1
5236,ATO basisschool Het Rondeel,1
5246,ATO basisschool Het Rondeel,2
5262,ATO basisschool Het Rondeel,1
5403,ATO basisschool Het Rondeel,1
5212,ATO basisschool De Springplank,2
5213,ATO basisschool De Springplank,1
5221,ATO basisschool De Springplank,1
5223,ATO basisschool De Springplank,3
5231,ATO basisschool De Springplank,158
5233,ATO basisschool De Springplank,10
5236,ATO basisschool De Springplank,1
5237,ATO basisschool De Springplank,1
5242,ATO basisschool De Springplank,1
5245,ATO basisschool De Springplank,1
5246,ATO basisschool De Springplank,1
5247,ATO basisschool De Springplank,2
5331,ATO basisschool De Springplank,1
5231,ATO basisschool Caleidoscoop,1
5232,ATO basisschool Caleidoscoop,1
5233,ATO basisschool Caleidoscoop,3
5235,ATO basisschool Caleidoscoop,5
5236,ATO basisschool Caleidoscoop,388
5237,ATO basisschool Caleidoscoop,5
5243,ATO basisschool Caleidoscoop,1
5245,ATO basisschool Caleidoscoop,7
5247,ATO basisschool Caleidoscoop,2
5313,ATO basisschool Caleidoscoop,2
5321,ATO basisschool Caleidoscoop,1
4061,RK Sch De Rietlanden,1
4158,RK Sch De Rietlanden,2
4171,RK Sch De Rietlanden,1
4261,RK Sch De Rietlanden,4
4265,RK Sch De Rietlanden,1
4266,RK Sch De Rietlanden,1
4273,RK Sch De Rietlanden,1
4707,RK Sch De Rietlanden,1
4891,RK Sch De Rietlanden,1
5062,RK Sch De Rietlanden,1
5071,RK Sch De Rietlanden,1
5076,RK Sch De Rietlanden,2
5142,RK Sch De Rietlanden,3
5144,RK Sch De Rietlanden,1
5151,RK Sch De Rietlanden,16
5152,RK Sch De Rietlanden,2
5154,RK Sch De Rietlanden,3
